iter	Logloss
0	0.6650982579
1	0.6424794299
2	0.6187931358
3	0.602840613
4	0.5875165682
5	0.5727811773
6	0.5593324485
7	0.5460489692
8	0.5354510368
9	0.5242429152
10	0.5152051669
11	0.5056059276
12	0.4954189003
13	0.4874578165
14	0.4793645981
15	0.4726348228
16	0.4669637477
17	0.4599310692
18	0.4544689638
19	0.4481120549
20	0.4429546924
21	0.4383880669
22	0.4336620087
23	0.429342067
24	0.4243803904
25	0.4211689564
26	0.417769006
27	0.4138698984
28	0.4110737253
29	0.4077496089
30	0.4051890272
31	0.4031789793
32	0.4006719386
33	0.3978137294
34	0.3953277913
35	0.3931335016
36	0.3898275389
37	0.3873519086
38	0.3848152431
39	0.3833734769
40	0.3807011327
41	0.3781966622
42	0.375840045
43	0.3738528854
44	0.3716734487
45	0.3698315992
46	0.367635037
47	0.3660805344
48	0.3651173098
49	0.3634793437
50	0.362178072
51	0.3599017529
52	0.3585055737
53	0.3573963355
54	0.3562390212
55	0.3545735407
56	0.3529257267
57	0.3516808097
58	0.3506444836
59	0.3494724788
60	0.3482704163
61	0.3472573571
62	0.3451568387
63	0.3430785592
64	0.3419965649
65	0.3395834037
66	0.3383779864
67	0.3367089075
68	0.3353549335
69	0.3342575723
70	0.3327553661
71	0.3316036793
72	0.3300321051
73	0.3292510391
74	0.3283282882
75	0.326482624
76	0.3258223838
77	0.3248369474
78	0.3229274885
79	0.3215106937
80	0.3205708984
81	0.3189002774
82	0.3176792767
83	0.3157666254
84	0.314945248
85	0.3143536994
86	0.3135009657
87	0.3123495224
88	0.3109177934
89	0.309780689
90	0.3090482671
91	0.3083026426
92	0.3065777501
93	0.3056184485
94	0.3051065215
95	0.3049528514
96	0.3035863782
97	0.3025530822
98	0.301650541
99	0.2998840386
100	0.2988751459
101	0.2983946022
102	0.2976544969
103	0.2950329341
104	0.2934138521
105	0.2921883333
106	0.2904936337
107	0.2892132211
108	0.2880353725
109	0.2865583542
110	0.2851221883
111	0.284644323
112	0.2834493488
113	0.2818771525
114	0.2814906235
115	0.2807140215
116	0.2792759347
117	0.278421659
118	0.2772185684
119	0.2763031763
120	0.2752338166
121	0.2742227324
122	0.273620389
123	0.2723870785
124	0.2717911199
125	0.2709738549
126	0.269891563
127	0.2689696508
128	0.2683253998
129	0.2667978706
130	0.2662963326
131	0.2654220906
132	0.2650314223
133	0.2643838977
134	0.2638734858
135	0.2631587576
136	0.2616857434
137	0.2611323688
138	0.2601289682
139	0.2593619164
140	0.2586569279
141	0.257574609
142	0.2559532544
143	0.2541365928
144	0.2529156191
145	0.2524142434
146	0.2512356914
147	0.250510953
148	0.2495606876
149	0.2484806413
150	0.2470712324
151	0.2459251999
152	0.2449511805
153	0.2440126568
154	0.2437220093
155	0.2432836979
156	0.2424773088
157	0.2422541084
158	0.2416383459
159	0.2411219008
160	0.2405811337
161	0.239828962
162	0.2382106105
163	0.2375676581
164	0.2372870479
165	0.2369527073
166	0.2367199296
167	0.2349103562
168	0.234681258
169	0.2337591022
170	0.232779212
171	0.231627444
172	0.2306488795
173	0.2296254855
174	0.2289960604
175	0.2278814113
176	0.2277431353
177	0.2270177205
178	0.2266240086
179	0.2259532983
180	0.2256454441
181	0.2245581471
182	0.2238072064
183	0.2235536778
184	0.2224078483
185	0.2219445519
186	0.2204536817
187	0.2194606159
188	0.219310003
189	0.2185462113
190	0.2171111411
191	0.2163540319
192	0.2152047123
193	0.214228001
194	0.2132812392
195	0.2118442211
196	0.2110962293
197	0.2102038607
198	0.2096497015
199	0.2085974808
200	0.2074313739
201	0.2064063431
202	0.206239308
203	0.2061396119
204	0.2054830511
205	0.2044463868
206	0.2042168151
207	0.2032798875
208	0.2032219366
209	0.2030171604
210	0.2029066424
211	0.2020301007
212	0.2010990576
213	0.2004230851
214	0.1996451439
215	0.1981752409
216	0.1973487908
217	0.1968883487
218	0.1960446784
219	0.1953853039
220	0.1946061588
221	0.1938048288
222	0.1935057809
223	0.1922674788
224	0.1912530128
225	0.190521362
226	0.1891195825
227	0.1880851096
228	0.1878520343
229	0.1873701109
230	0.1869666187
231	0.186063753
232	0.1848695363
233	0.1843315557
234	0.1842879032
235	0.1842155186
236	0.1834493597
237	0.1829834931
238	0.1827277326
239	0.1817383462
240	0.1809566308
241	0.1801290309
242	0.1799008796
243	0.1788557066
244	0.1778799287
245	0.176998436
246	0.1758374965
247	0.1751006918
248	0.1744575906
249	0.1732804183
250	0.1724425783
251	0.1714466582
252	0.1710122291
253	0.1708096984
254	0.1705582396
255	0.1700847031
256	0.1695143788
257	0.168103076
258	0.1680270662
259	0.1671640653
260	0.166008956
261	0.1652620194
262	0.1645839367
263	0.1644078924
264	0.163880869
265	0.1631210544
266	0.162820302
267	0.1612878353
268	0.1606757522
269	0.1598895188
270	0.1598350985
271	0.1589885198
272	0.1583675357
273	0.1583208395
274	0.1573773107
275	0.1564855643
276	0.1559153753
277	0.1558881719
278	0.1554558937
279	0.1547838576
280	0.1539505762
281	0.1538900686
282	0.1531641399
283	0.152214916
284	0.1520737317
285	0.1516509766
286	0.1514156152
287	0.1512912182
288	0.1505751779
289	0.1505378696
290	0.1500223714
291	0.1495018411
292	0.1487401326
293	0.1475635691
294	0.1469313574
295	0.1467282045
296	0.1458939897
297	0.145625987
298	0.1455118436
299	0.1447458876
300	0.144028738
301	0.1433177028
302	0.1428366992
303	0.1420117913
304	0.1417045458
305	0.1410715225
306	0.140223821
307	0.1398436634
308	0.139231161
309	0.1381258863
310	0.1374954602
311	0.1367884967
312	0.1362974153
313	0.1353557127
314	0.1352193981
315	0.1346248059
316	0.1341723449
317	0.1333241429
318	0.1327702272
319	0.1319654749
320	0.1309342621
321	0.1303680772
322	0.1301483804
323	0.1294827563
324	0.12879722
325	0.128187139
326	0.1278397851
327	0.1274068846
328	0.1267818424
329	0.1262316332
330	0.1262025495
331	0.1259672557
332	0.1259102111
333	0.1255010375
334	0.1251291857
335	0.1249293064
336	0.1246873301
337	0.1246563255
338	0.1246349795
339	0.1238919251
340	0.1237156915
341	0.1233539717
342	0.122395414
343	0.1221907325
344	0.1215806785
345	0.1207661189
346	0.1203539693
347	0.1197181188
348	0.1195997008
349	0.1190868675
350	0.1182778
351	0.1176462376
352	0.1170431367
353	0.1161842346
354	0.1156513403
355	0.115285427
356	0.1151631538
357	0.1146620487
358	0.1136985671
359	0.1132231503
360	0.1126983859
361	0.1122704567
362	0.1119597009
363	0.1116710284
364	0.1112940903
365	0.1108201886
366	0.1101694175
367	0.1097712415
368	0.109450577
369	0.1089440339
370	0.1086734406
371	0.1080331261
372	0.1076708178
373	0.1072077514
374	0.1068159198
375	0.1062817337
376	0.1062550646
377	0.1061035589
378	0.1053830816
379	0.1052532331
380	0.104774421
381	0.1043786529
382	0.1040072001
383	0.1036986493
384	0.1036479219
385	0.1031290825
386	0.1030485681
387	0.1029975837
388	0.1022503494
389	0.1018478042
390	0.1011284159
391	0.1010138735
392	0.1004747364
393	0.1003190845
394	0.09979475305
395	0.09944176505
396	0.09906721453
397	0.09893888108
398	0.09829211404
399	0.0982436728
