DateTime,Daily_total_power,Daily_mean_power,Daily_peak_power,Daily_min_power,Daily_std_power,Global_reactive_power_sum,Global_reactive_power_mean,Voltage_mean,Voltage_std,Global_intensity_mean,Global_intensity_max,Sub_metering_1_sum,Sub_metering_2_sum,Sub_metering_3_sum,Peak_hour_power,Nighttime_usage,Morning_usage,Afternoon_usage,DayOfWeek,IsWeekend,Month,Season,DayOfYear
2006-12-17,0.6942518031928628,0.6942518031928628,0.6217701017546735,0.08037780436922864,0.6067831761051707,0.5119971944858365,0.5119971944858364,0.550493726252542,0.6685092125900447,0.695225988106995,0.6056289974745817,0.1811297220242338,0.34577586918820713,0.5618919260413595,0.6084364714545059,0.5964949182580209,0.6738926153918299,0.6270585585912812,6,1,12,Χειμώνας,351
2006-12-18,0.43190139126189886,0.4319013912618989,0.5373254768630358,0.07790464115786777,0.5045454666404598,0.34863933143515297,0.348639331435153,0.620517720107939,0.6110997980443037,0.42461810006093587,0.5413293774976112,0.09470776906628653,0.21645057395325792,0.5904055932274775,0.4721367179364396,0.19999820986632175,0.46722891870492045,0.43842448985521987,0,0,12,Χειμώνας,352
2006-12-19,0.31303746467015453,0.31303746467015453,0.6940979482402263,0.072958314735146,0.6229841085556626,0.321037362797474,0.3210373627974741,0.6674760911086803,0.4986504634041547,0.31150847849383284,0.6827885414469461,0.07475053456878118,0.6277975059872822,0.2610032430611127,0.38322938891175695,0.1003742871165571,0.5318386038449815,0.17161350312733825,1,0,12,Χειμώνας,353
2006-12-20,0.4367480800727291,0.43674808007272903,0.5214804589473864,0.07790464115786777,0.6654464915734328,0.34661942700212833,0.3466194270021284,0.6863636054676068,0.5464287112271581,0.4280746359605807,0.502749605511429,0.0,0.218680320422826,0.5923008886829803,0.623158150221145,0.2901926034659972,0.5144443823193617,0.19467662378229947,2,0,12,Χειμώνας,354
2006-12-21,0.3242948180535068,0.3242948180535068,0.508990856590345,0.072958314735146,0.4985847619693445,0.303799488190201,0.30379948819020103,0.6089307440814036,0.6077500054240726,0.31920951440398393,0.507036246843227,0.15725231646471846,0.2166157403584111,0.43890830981763046,0.36501957260065504,0.19147269822373988,0.37871570620286893,0.259357678868492,3,0,12,Χειμώνας,355
2006-12-22,0.46230362973260747,0.46230362973260747,0.6981990117007474,0.07790464115786777,0.72412988753833,0.4125283489804681,0.41252834898046814,0.6176336145077848,0.5857122875400971,0.45875270534344725,0.6956484654423403,0.2807377049180328,0.028904120901808574,0.46881186033778377,0.6921763715169873,0.2826054202264221,0.45627726865270546,0.27174498935760627,4,0,12,Χειμώνας,356
2006-12-23,1.0,0.9999999999999999,0.7740686857203866,0.08161438597490908,0.7583055289174664,0.5004577908231165,0.5004577908231165,0.5534942326384424,0.45671276065669786,1.0,0.7556614440875126,0.23779401282965076,0.035097861095053265,0.620224908394053,0.7294290901159597,0.8764211050793551,0.9865485167836924,1.0,5,1,12,Χειμώνας,357
2006-12-24,0.5084389249114764,0.5084389249114765,0.599400664697286,0.07419489634082643,0.642220997739551,0.3183865562241596,0.31838655622415973,0.648397407576077,0.5627097611614583,0.5168099010317077,0.5970557148109856,0.15172843905915895,0.4196878354942605,0.29023291075264285,0.06281107479570536,0.6295243763994742,0.6106085993539392,0.5187226221695955,6,1,12,Χειμώνας,358
2006-12-25,0.5511327659333622,0.5511327659333622,0.5880295341931141,0.07543147794650687,0.7188200800189091,0.5483096829959037,0.5483096829959035,0.7531576899287007,0.5681020838875133,0.5403437624760984,0.5713358668201974,0.589807555238774,0.16202824345528122,0.2440719369919555,0.45389574289786017,0.44391287419388037,0.4868289814712943,0.5930072571681789,0,0,12,Χειμώνας,359
2006-12-26,0.8144462367303046,0.8144462367303046,0.5688291007188565,0.21145545457135537,0.4803386957418594,0.35705983983982736,0.3570598398398274,0.6446046111703971,0.5109751674778574,0.7972620873694605,0.5499026601612073,0.09675694939415538,0.20918325212651748,0.6308806806216569,0.5794260562398632,0.6882109254841938,0.9113136388805221,0.7671153664543032,1,0,12,Χειμώνας,360
