DateTime,Daily_total_power,Daily_mean_power,Daily_peak_power,Daily_min_power,Daily_std_power,Global_reactive_power_sum,Global_reactive_power_mean,Voltage_mean,Voltage_std,Global_intensity_mean,Global_intensity_max,Sub_metering_1_sum,Sub_metering_2_sum,Sub_metering_3_sum,Peak_hour_power,Nighttime_usage,Morning_usage,Afternoon_usage,DayOfWeek,IsWeekend,Month,Season,DayOfYear,High_Consumption
2006-12-17,56.507666666666665,2.354486111111111,7.064,0.206,1.2057954435344829,226.006,0.1569486111111111,240.0870277777778,4.051466800751101,9.999027777777778,30.0,2033.0,4187.0,13341.0,13.007766666666667,14.649566666666667,13.462866666666667,15.387466666666667,6,1,12,Χειμώνας,351,1
2006-12-18,36.73043333333333,1.5304347222222223,6.158,0.202,1.0050741549206366,161.792,0.11235555555555556,241.23169444444446,3.719575628087397,6.421666666666667,27.0,1063.0,2621.0,14018.0,10.237333333333334,5.7899666666666665,9.643466666666667,11.059666666666667,0,0,12,Χειμώνας,352,1
2006-12-19,27.7699,1.1570791666666667,7.84,0.194,1.23760241627707,150.942,0.10482083333333334,241.9993125,3.069491633427657,4.926388888888889,33.6,839.0,7602.0,6197.0,8.430200000000001,3.5639,10.837533333333333,4.938266666666666,1,0,12,Χειμώνας,353,1
2006-12-20,37.095800000000004,1.5456583333333334,5.988,0.202,1.3209679795468874,160.998,0.11180416666666666,242.30806249999998,3.34570379868427,6.467361111111111,25.2,0.0,2648.0,14063.0,13.306999999999999,7.8053333333333335,10.516066666666665,5.4674,2,0,12,Χειμώνας,354,1
2006-12-21,28.618533333333335,1.192438888888889,5.854,0.194,0.9933716204165176,144.166,0.10011527777777778,241.04228472222223,3.7002100482481723,5.028194444444445,25.4,1765.0,2623.0,10421.0,8.060066666666666,5.599466666666667,8.007633333333334,6.951366666666667,3,0,12,Χειμώνας,355,1
2006-12-22,39.0223,1.6259291666666669,7.884,0.202,1.436179939204263,186.906,0.12979583333333333,241.1845486111111,3.57280718080529,6.872916666666667,34.2,3151.0,350.0,11131.0,14.709866666666667,7.635800000000001,9.441066666666668,7.235566666666667,4,0,12,Χειμώνας,356,1
2006-12-23,79.55643333333335,3.314851388888889,8.698,0.208,1.5032763052392701,221.47,0.15379861111111112,240.1360763888889,2.827044406717384,14.028055555555557,37.0,2669.0,425.0,14726.0,15.467066666666666,20.904433333333333,19.241133333333334,23.9438,5,1,12,Χειμώνας,357,1
2006-12-24,42.5002,1.7708416666666669,6.824,0.196,1.2753698232947774,149.9,0.10409722222222223,241.6874375,3.439826631979948,7.640416666666667,29.6,1703.0,5082.0,6891.0,1.9173666666666667,15.387599999999999,12.293299999999999,12.901933333333334,6,1,12,Χειμώνας,358,1
2006-12-25,45.718666666666664,1.9049444444444443,6.702,0.198,1.4257552983044437,240.28,0.1668611111111111,243.39993055555558,3.4710003397610225,7.951527777777779,28.4,6620.0,1962.0,5795.0,9.866566666666667,11.240166666666665,10.0057,14.606233333333334,0,0,12,Χειμώνας,359,1
2006-12-26,65.5685,2.7320208333333333,6.496,0.418,0.9575494766645732,165.102,0.11465416666666667,241.6254375,3.1407423249757347,11.347916666666666,27.4,1086.0,2533.0,14979.0,12.4181,16.698933333333333,17.8507,18.60076666666667,1,0,12,Χειμώνας,360,1
2006-12-27,25.479333333333333,1.0616388888888888,5.56,0.21,0.8255954029902615,178.902,0.12423749999999999,243.76736111111111,3.662532775598006,4.5175,23.2,0.0,314.0,6976.0,7.2435,4.8476333333333335,10.650533333333334,2.7376666666666667,2,0,12,Χειμώνας,361,0
2006-12-28,34.54396666666666,1.4393319444444443,9.132,0.218,1.4362921419326407,208.876,0.14505277777777778,243.26833333333335,3.769082317347416,6.086250000000001,39.4,2207.0,4419.0,9176.0,12.5445,7.8562666666666665,5.799166666666666,8.344033333333334,3,0,12,Χειμώνας,362,1
2006-12-29,52.90653333333333,2.204438888888889,7.238,0.216,1.3134129206327072,196.394,0.13638472222222223,240.87130555555555,4.831277406630212,9.271388888888888,31.2,1252.0,5162.0,11329.0,11.469533333333334,17.696033333333332,17.219033333333336,6.521933333333333,4,0,12,Χειμώνας,363,1
2006-12-30,46.69563333333333,1.9456513888888887,9.078,0.204,1.7475293829872829,312.75600000000003,0.2171916666666667,240.53632638888888,4.624592754198109,8.317083333333333,38.8,3148.0,7929.0,12516.0,12.729800000000001,3.2333,14.518266666666667,16.214266666666667,5,1,12,Χειμώνας,364,1
2006-12-31,58.236599999999996,2.426525,6.722,0.206,1.1642050770809431,150.852,0.10475833333333334,239.8965763888889,3.4792590072413807,10.199583333333333,28.4,0.0,347.0,6502.0,9.7133,10.961866666666667,18.948066666666666,18.613366666666664,6,1,12,Χειμώνας,365,1
2007-01-01,45.81673333333333,1.9090305555555556,3.558,0.204,0.9120673043449209,148.166,0.10289305555555556,240.12897916666665,2.2168510618802078,7.916944444444444,14.6,0.0,352.0,5880.0,3.040433333333333,16.043699999999998,15.7286,11.004,0,0,1,Χειμώνας,1,1
2007-01-02,21.153933333333335,0.8814138888888889,3.688,0.358,0.702746183396342,190.342,0.13218194444444445,241.94377777777777,2.7364647824939943,3.7140277777777775,16.4,0.0,348.0,6562.0,7.3853333333333335,4.8016,2.6102333333333334,6.356766666666667,1,0,1,Χειμώνας,2,0
2007-01-03,16.9009,0.7042041666666666,5.19,0.23,0.562507154444502,196.728,0.13661666666666666,243.5570902777778,2.2089026875078757,3.0140277777777778,21.2,0.0,344.0,4765.0,2.0919,6.537366666666667,3.4087666666666667,4.862866666666666,2,0,1,Χειμώνας,3,0
2007-01-04,54.32353333333333,2.2634805555555553,5.976,0.26,1.16080006300786,202.302,0.1404875,239.7502986111111,2.4483842116402132,9.478194444444444,25.2,1051.0,7597.0,10896.0,7.4369,16.6912,13.6602,16.535233333333334,3,0,1,Χειμώνας,4,1
2007-01-05,45.22273333333333,1.8842805555555555,5.73,0.222,1.0255427941793696,173.154,0.12024583333333333,240.49576388888892,3.0227701031342193,7.885138888888889,24.8,1483.0,379.0,7602.0,10.088600000000001,18.093233333333334,12.412333333333333,4.628566666666667,4,0,1,Χειμώνας,5,1
2007-01-06,25.139633333333332,1.047484722222222,8.044,0.234,0.963160297111451,192.188,0.13346388888888888,239.67305555555555,3.7463041927511385,4.543888888888889,35.6,1336.0,402.0,5678.0,4.717233333333334,4.2285,5.672033333333333,10.521866666666666,5,1,1,Χειμώνας,6,0
2007-01-07,40.79366666666667,1.6997361111111111,7.774,0.24,1.6683028431485156,246.074,0.17088472222222223,240.90248611111113,4.479279273199161,7.282638888888889,33.8,1987.0,8177.0,12810.0,16.389566666666667,6.0847,3.4465333333333334,14.872866666666665,6,1,1,Χειμώνας,7,1
2007-01-08,37.356,1.5565,4.97,0.216,0.9102043970863523,207.568,0.14414444444444446,239.5769513888889,2.7870070222696106,6.551666666666667,21.2,0.0,467.0,17547.0,11.6347,9.235999999999999,7.756633333333334,8.728666666666667,0,0,1,Χειμώνας,8,1
2007-01-09,31.1509,1.2979541666666667,8.67,0.202,1.2559920993228828,207.248,0.14392222222222223,240.48752083333335,2.7444732826696043,5.521111111111111,37.2,1688.0,4267.0,9790.0,11.1636,5.201333333333333,9.798366666666668,4.9876,1,0,1,Χειμώνας,9,1
2007-01-10,35.913333333333334,1.496388888888889,6.836,0.212,1.2914481935287252,228.452,0.15864722222222222,241.02745138888892,3.2450511363325294,6.357777777777779,29.6,771.0,4456.0,11012.0,11.183266666666666,3.6244333333333336,13.626533333333333,7.4791,2,0,1,Χειμώνας,10,1
